post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 14:31:19.408577,0.7647058823529411,False
47621438,Show HN: Made a little Artemis II tracker,entertainment,149,55,codingmoh,2026-04-05 14:31:24.533089,0.36666666666666664,False
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 14:31:37.947585,1.4371859296482412,True
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,295,147,Growtika,2026-04-05 14:31:39.060827,0.4966216216216216,True
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,897,432,novaRom,2026-04-05 14:31:56.767047,0.48106904231625836,True
47631648,Automatic Textbook Formalization,entertainment,43,17,tzury,2026-04-05 14:32:00.475564,0.38636363636363635,False
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05 14:32:02.625770,0.05263157894736842,False
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 14:32:13.170527,0.27586206896551724,True
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 14:32:18.568386,0.5701754385964912,False
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 14:32:33.038520,0.55,False
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,100,43,hpscript,2026-04-05 14:32:41.390731,0.42574257425742573,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 14:33:14.101713,0.753731343283582,False
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 14:33:23.215601,0.3401360544217687,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05 14:33:33.657826,0.14634146341463414,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 14:35:03.291413,0.17142857142857143,False
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,85,120,vrganj,2026-04-05 14:35:48.431966,1.3953488372093024,False
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,24,9,bundie,2026-04-05 14:36:02.053522,0.36,False
47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,science,11,0,codydh,2026-04-05 14:36:08.607059,0.0,False
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 14:36:39.942280,0.3076923076923077,False
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,10,3,mempko,2026-04-05 14:36:43.534676,0.2727272727272727,False
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 14:36:44.703742,1.0,False
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 14:37:04.071434,0.18085106382978725,False
47641555,US deploying nearly all stealthy long-range JASSM-ER cruise missiles to Iran war,worldnews,61,79,prmph,2026-04-05 14:37:20.697310,1.2741935483870968,False
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,7,1,nikisweeting,2026-04-05 14:37:23.360238,0.125,False
47620867,Proton Workspace: An encrypted suite for team collaboration,sports,26,4,teekert,2026-04-05 14:37:49.369294,0.14814814814814814,False
47612035,UK Government unveils rules to end subscription traps,worldnews,27,6,_____k,2026-04-05 14:38:09.235402,0.21428571428571427,False
